Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 15:16:32.176379,Jaydev Vihar,102,31,143.46
2025-04-09 15:16:32.180333,Rupali Square,80,74,92.17
2025-04-09 15:16:32.181374,CRP Square,17,69,25.08
2025-04-09 15:16:42.183256,Jaydev Vihar,66,58,39.2
2025-04-09 15:16:42.183256,Rupali Square,59,37,30.31
2025-04-09 15:16:42.189382,CRP Square,88,64,45.34
2025-04-09 15:16:52.194530,Jaydev Vihar,58,63,30.52
2025-04-09 15:16:52.198323,Rupali Square,115,34,68.28
2025-04-09 15:16:52.201537,CRP Square,55,50,47.6
2025-04-09 15:17:02.206396,Jaydev Vihar,24,27,42.08
2025-04-09 15:17:02.207906,Rupali Square,73,27,47.36
2025-04-09 15:17:02.215049,CRP Square,13,73,11.73
2025-04-09 15:17:12.219113,Jaydev Vihar,144,58,173.88
2025-04-09 15:17:12.224750,Rupali Square,35,52,19.24
2025-04-09 15:17:12.227820,CRP Square,97,25,131.4
2025-04-09 15:17:22.232617,Jaydev Vihar,20,25,11.58
2025-04-09 15:17:22.235870,Rupali Square,88,67,135.38
2025-04-09 15:17:22.238287,CRP Square,78,56,114.04
2025-04-09 15:17:32.245596,Jaydev Vihar,83,33,98.59
2025-04-09 15:17:32.248114,Rupali Square,36,48,32.99
2025-04-09 15:17:32.251004,CRP Square,122,27,85.93
2025-04-09 15:17:42.255510,Jaydev Vihar,37,32,38.77
2025-04-09 15:17:42.259549,Rupali Square,141,22,77.05
2025-04-09 15:17:42.261316,CRP Square,29,47,15.59
2025-04-09 15:17:52.266671,Jaydev Vihar,148,47,96.67
2025-04-09 15:17:52.268075,Rupali Square,36,76,18.44
2025-04-09 15:17:52.271485,CRP Square,80,54,153.33
2025-04-09 15:18:02.280351,Jaydev Vihar,93,44,57.35
2025-04-09 15:18:02.282368,Rupali Square,68,21,67.81
2025-04-09 15:18:02.286800,CRP Square,37,22,29.27
2025-04-09 15:18:12.292494,Jaydev Vihar,105,28,83.5
2025-04-09 15:18:12.293007,Rupali Square,145,66,131.81
2025-04-09 15:18:12.299467,CRP Square,89,43,81.98
2025-04-09 15:18:22.304371,Jaydev Vihar,20,52,10.81
2025-04-09 15:18:22.308403,Rupali Square,128,27,68.97
2025-04-09 15:18:22.314067,CRP Square,132,69,98.43
2025-04-09 15:18:32.317517,Jaydev Vihar,20,28,12.92
2025-04-09 15:18:32.319013,Rupali Square,138,49,104.35
2025-04-09 15:18:32.324931,CRP Square,35,52,58.92
2025-04-09 15:18:42.331962,Jaydev Vihar,43,40,58.17
2025-04-09 15:18:42.334459,Rupali Square,55,61,47.51
2025-04-09 15:18:42.336195,CRP Square,118,53,221.98
2025-04-09 15:18:52.343148,Jaydev Vihar,135,59,265.64
2025-04-09 15:18:52.344164,Rupali Square,119,78,69.92
2025-04-09 15:18:52.349980,CRP Square,12,40,11.29
2025-04-09 15:19:02.355519,Jaydev Vihar,37,22,43.94
2025-04-09 15:19:02.359058,Rupali Square,138,72,70.22
2025-04-09 15:19:02.361833,CRP Square,83,64,41.73
2025-04-09 15:19:12.367327,Jaydev Vihar,148,61,80.95
2025-04-09 15:19:12.370527,Rupali Square,43,75,22.03
2025-04-09 15:19:12.372322,CRP Square,66,52,36.09
2025-04-09 15:19:22.378458,Jaydev Vihar,14,59,12.48
2025-04-09 15:19:22.379867,Rupali Square,59,20,84.35
2025-04-09 15:19:22.384028,CRP Square,33,42,33.02
2025-04-09 15:19:32.388159,Jaydev Vihar,50,56,31.43
2025-04-09 15:19:32.390957,Rupali Square,118,31,209.12
2025-04-09 15:19:32.393776,CRP Square,68,46,69.12
2025-04-09 15:19:42.399951,Jaydev Vihar,17,70,9.72
2025-04-09 15:19:42.402658,Rupali Square,46,44,51.24
2025-04-09 15:19:42.405883,CRP Square,134,34,80.79
2025-04-09 15:19:52.412316,Jaydev Vihar,68,22,59.9
2025-04-09 15:19:52.415499,Rupali Square,41,78,36.95
2025-04-09 15:19:52.417553,CRP Square,148,48,99.98
2025-04-09 15:20:02.422357,Jaydev Vihar,55,32,40.47
2025-04-09 15:20:02.422357,Rupali Square,102,50,98.26
2025-04-09 15:20:02.425654,CRP Square,39,28,65.27
2025-04-09 15:20:12.427452,Jaydev Vihar,88,70,90.92
2025-04-09 15:20:12.427452,Rupali Square,85,62,165.08
2025-04-09 15:20:12.433475,CRP Square,49,34,43.29
2025-04-09 15:20:22.439207,Jaydev Vihar,85,44,68.04
2025-04-09 15:20:22.440487,Rupali Square,63,37,97.59
2025-04-09 15:20:22.446600,CRP Square,46,34,23.56
2025-04-09 15:20:32.450527,Jaydev Vihar,74,42,96.32
2025-04-09 15:20:32.451976,Rupali Square,21,37,33.93
2025-04-09 15:20:32.455190,CRP Square,101,20,71.57
2025-04-09 15:20:42.461682,Jaydev Vihar,122,49,156.55
2025-04-09 15:20:42.461682,Rupali Square,70,57,96.93
2025-04-09 15:20:42.463688,CRP Square,56,44,33.14
2025-04-09 15:20:52.466028,Jaydev Vihar,134,75,104.92
2025-04-09 15:20:52.469403,Rupali Square,92,29,55.13
2025-04-09 15:20:52.471985,CRP Square,67,76,88.82
2025-04-09 15:21:02.477400,Jaydev Vihar,59,36,31.03
2025-04-09 15:21:02.480429,Rupali Square,24,72,29.31
2025-04-09 15:21:02.482445,CRP Square,143,34,79.43
